,original,action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
7271,judging people based on what they know.,['and judging people based rather on all what they know.'],There is This Weird Trend Among Some People To Judge You Based On What You Know,463.0,0.0,-1.0,-1.0,-1.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7272,practicing hard to excel at one's hobby.,"[""practicing hard simply to excel first at one'own s hobby.""]",Serious Video Gamer Gets No Respect for Her Hobby,463.0,2.0,0.5,1.0,1.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7273,hating someone just because they made a single mistake.,['hating hating being someone just because they made... a single mistake.'],getting hating my housemate/classmate for flaking on her promise to do some work on our project,463.0,-1.0,-1.2,-1.0,-1.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7274,supporting someone who hurts others.,['supporting from someone who accidentally hurts others.'],All Hail Vladimir Putin!,463.0,0.0,-1.3333333333333333,-1.0,-1.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7275,teaching children that their boundaries should be respected.,['teaching children all that is their boundaries should be widely respected.'],Mom Frowns On In-Laws' 'Kiss Attacks' On Son,463.0,1.0,0.8,0.0,1.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7276,helping your coworkers with their goals.,['stop helping your coworkers work with their own goals.'],Woman Is Reluctant Benchmark for Co Worker Losing Weight,464.0,2.0,1.1666666666666667,1.0,1.0,,,,,,English-Speaking,,
7277,only inviting certain people to your events.,['only after inviting in certain people to your social events.'],intentionally excluding friends with social anxiety from events because I was sick of constantly having to follow-up,464.0,0.0,0.0,1.0,0.0,,,,,,English-Speaking,,
7278,running inside to get away from somebody so they can't follow you inside.,"[""like running inside to get away easily from somebody so they can'no t really follow even you inside.""]",He runs inside to get away from them.,464.0,1.0,0.1666666666666666,0.0,0.0,,,,,,English-Speaking,,
7279,swearing at others.,['her swearing at her others.'],yelling at my sons teacher and tell him to leave my son tf alone in front of his classmates,464.0,-1.0,-1.3333333333333333,-1.0,-1.0,,,,,,English-Speaking,,
7280,being unemployed.,['being paid unemployed.'],Unemployed Eldest Child Feels Trapped in Parents' Basement,464.0,0.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7281,thinking about someone that you really loved in your past.,['so thinking about meeting someone that... you really have loved in your past.'],"Even After 50 Years, Woman Still Pines for Lost Teenage Love",464.0,2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7282,breaking the rules.,['not breaking the dating rules.'],Her mother caught her returning and she was grounded for longer.,464.0,-1.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
7283,expecting people to always open up about themselves.,['not expecting people to get always this open up about themselves.'],Im finally opening up.,464.0,-1.0,-0.6,-1.0,0.0,,,,,,English-Speaking,,
7284,having a sexual fantasy about almost anything you find stimulating.,['sometimes having such a sexual fantasy about almost entirely anything you find particularly stimulating.'],Seeing woman going into the “lactation” room turns me on,464.0,-1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7285,questioning your sexual orientation.,['questioning is your sexual object orientation.'],Had a 3sum with two trans girls last night. I consider myself straight.,464.0,0.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7286,being angry with someone who wronged you.,['being scared angry alone with someone else who wronged you.'],getting mad at my husband,464.0,0.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7287,not wanting to be cool about a problem.,['like not wanting to be too cool about fixing a problem.'],I was super not cool today,464.0,-1.0,-0.2,0.0,-1.0,,,,,,English-Speaking,,
7288,maxing out your credit cards.,['maxing yourself out into your school credit cards.'],"At the counter, however, my card was declined, so I put it all back.",464.0,-2.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
7289,distancing yourself from toxic family members.,['distancing you yourself somehow from your toxic family members.'],Siblings Drifting Apart Must Come Together for Mother,464.0,2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7290,finding a partner's siblings attractive.,"[""but finding meeting a sleeping partner's siblings attractive.""]",Girlfriends hot sisters feet!,464.0,-2.0,-1.25,1.0,0.0,,,,,,English-Speaking,,
7291,taking your parents to a sports game.,['maybe taking with your parents to a sports car game.'],Barney had tickets to take his dad to a USC football game.,464.0,1.0,1.0,1.0,1.0,,,,,,English-Speaking,,
7292,leaving difficult issues to security to handle.,['leaving on difficult issues solely to national security to handle.'],asking security to get a girl off the seats at a concert,464.0,2.0,0.3333333333333333,0.0,0.0,,,,,,English-Speaking,,
7293,loving someone that will never love you back.,['loving someone you that loves will never possibly love you back.'],I fell in love with someone who’ll never love me back like that,464.0,-1.0,-0.75,-1.0,0.0,,,,,,English-Speaking,,
7294,speaking out against your own work.,['speaking loudly out here against your own goddamn work.'],calling out my work to use more inclusive terms,464.0,1.0,-1.0,1.0,0.0,,,,,,English-Speaking,,
7295,needing coffee to get yourself going.,['just needing coffee to temporarily get inside yourself going.'],I think she needs it for the daily grind.,464.0,-1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7296,watching someone changing their clothes.,['as watching someone slowly changing their clothes.'],I Saw My Friends Dad Changing,464.0,-1.0,-1.1666666666666667,-1.0,-1.0,,,,,,English-Speaking,,
7297,having your mental health on the border line.,['having your mental stability health checked on the border and line.'],What keeps me sane.,464.0,-2.0,-1.0,-1.0,0.0,,,,,,English-Speaking,,
7298,liking feet.,['especially liking feet.'],I told my friend that I liked her feet and asked if I got feel them,464.0,2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
7299,wanting others to perform bodily functions on you.,['wanting others to actually perform strange bodily manipulation functions on you.'],I want to serve as a human toilet for women,464.0,0.0,-1.5,1.0,-1.0,,,,,,English-Speaking,,
7300,being angry when your divorced parents fight about your wedding.,['being angry not when your new divorced parents fight about protecting your upcoming wedding.'],Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,465.0,0.0,0.0,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7301,teaching children bad words in a controlled environment.,['teaching children bad curse words often in a controlled learning environment.'],Potty Mouthed Parents Are Setting Bad Example for Kids,465.0,1.0,0.0,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7302,having too much body hair.,['having too much a body with hair.'],Man's Body Hair Is Speed Bump On Road To Romance,465.0,0.0,-1.0,-1.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7303,putting away harmful feelings towards people you are close to.,['putting sleep away harmful positive feelings towards nice people you are close even to.'],I hate my sister,465.0,-1.0,0.2,1.0,1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7304,operating your car in any way you enjoy.,['operating your car in effect any new way you you enjoy.'],"While driving,l i like having the window down to let cool air across my face, while simultaneously having warm air blowing over my feet. I feel I cant be the only one that enjoys this?",465.0,-1.0,0.0,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7305,not correcting a mistake on a bill.,['not without correcting a minor mistake on composing a bill.'],caring too much about a miscalculated split bill,465.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7306,being nice to your friends and inviting them to do things with you.,['being very nice to your friends all and basically inviting from them to do all things with you.'],not inviting my friend to a vacation,465.0,2.0,0.5,1.0,1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7307,letting your partner's parents get mad at you.,"[""and letting your future partner's old parents get mad at two you.""]",Protective Mom Gives Boy Dating Her Daughter the Third Degree,465.0,-1.0,-0.6666666666666666,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7308,being honest about your beliefs.,['keep being honest about facing your beliefs.'],"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",465.0,1.0,1.0,1.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7309,expecting your kids to give you money.,['expecting only your kids to possibly give you your money.'],refusing to give my mother money to help with bills,465.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7310,assuming someone has a disability because they talk differently.,['not assuming also someone who has a disability because they talk differently.'],"In Texas, her new teachers though her accent was a speech impediment.",465.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7311,helping someone you know is struggling to make a positive change,['especially helping with someone you know that is struggling to make a positive relationship change'],"I'm trying to move on, but I'm still caught up in my confusing, toxic past.",465.0,2.0,2.0,1.0,1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7312,judging others by their weight.,['judging on others simply by their weight.'],Woman Is Reluctant Benchmark for Co Worker Losing Weight,465.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7313,buying lottery tickets on occasion.,['besides buying lottery tickets on every occasion.'],"Jane never bought a lottery ticket, but today she felt lucky.",465.0,0.0,0.0,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7314,expecting a cheater to always be a cheater.,['nobody expecting even a cheater appears to always be already a cheater.'],'Other Woman' Who Won Now Wishes She Hadn't,465.0,0.0,0.1666666666666666,0.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7315,children doing risky things.,['little children doing risky daily things.'],Sam broke his leg as a child.,465.0,0.0,-0.1666666666666666,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7316,being open with your children about sex.,['remember being open up with your two children about sex.'],Mother's Up-Front Talk Sets Daughter Straight About Sex,465.0,1.0,0.5,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7317,not thinking about someone's feeling or emotional well being.,"[""not about thinking about losing someone's emotional feeling or emotional to well being.""]",telling this girl who contacts me (after not talking for years) that I have a girlfriend,465.0,-2.0,-1.3333333333333333,-1.0,-1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7318,being in charge at work,['being man in charge at day work'],Ted was head of his division at work.,465.0,0.0,0.5,0.0,1.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7319,wanting a partner to handle their home responsibilities on their own.,['wanting a partner to handle handling their different home front responsibilities on their quite own.'],expecting my parenting partner to find a sitter when his work schedule changes,465.0,0.0,0.3333333333333333,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7320,having an opinion.,['always having an open opinion.'],I think Nutella and Barbecue shapes taste good together,465.0,0.0,0.0,0.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7321,getting upset over being homesick,['getting too upset enough over being homesick'],getting mad that my girlfriend wants to spend entire weekends at her family's house,465.0,0.0,0.0,-1.0,0.0,10-20,woman,,,college,English-Speaking,English-Speaking,english
7322,finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.'],Paper Trail of Names Could Lead to Husband's Cheating,466.0,2.0,0.5,0.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7323,drinking responsibly.,['begin drinking less responsibly.'],He decided to end his day with a visit to the bar.,466.0,2.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7324,having a potty mouth.,['and having a perfect potty mouth.'],I swear as loud as I can when playing video games in my apartment.,466.0,-1.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7325,investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.'],Gary trained and studied his opponent.,466.0,2.0,-0.8333333333333334,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7326,not wanting the rest of your family involved in a sibling quarrel.,['certainly not for wanting half the rest of your family involved inadvertently in a sibling quarrel.'],asking my family to stay out of my and my stepsister's dispute? and WIBTA if I refuse to cave in just to keep the peace,466.0,1.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7327,wanting to make a lot of money.,['no wanting to even make a lot of extra money.'],He made a lot of money through his investments.,466.0,2.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7328,telling your parents to butt out of your love life.,['telling your parents to come butt them out of having your normal love life.'],Protective Mom Gives Boy Dating Her Daughter the Third Degree,466.0,0.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7329,telling your sibling what to do.,['telling your sibling is what... to not do.'],wanting my sister to get my new boots,466.0,-1.0,-1.0,-1.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7330,having any sexual fetish that turns you on.,['having learned any deep sexual pet fetish that turns you on.'],I'm really into plumber cracks,466.0,0.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7331,imposing upon your parents to provide you a place to live again when you've failed at life.,"[""imposing upon your parents only to provide you own a suitable place to live again because when you've ve often failed at life.""]","Im twenty, My girlfriend is doing the whole ""needing space"" thing, I got discharged from the military, and I am now living with my parents and going to a community college. wanna know more?",466.0,-1.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7332,resenting your parents.,['everyone resenting your old parents.'],resenting my father for what (might be) a trivial issue,466.0,-1.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7333,defrauding the government,['by defrauding down the government'],I Never Pay Taxes,466.0,-1.0,-1.8333333333333333,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7334,firing a daughter in law from a job.,['firing is a younger daughter in law up from a job.'],Hairdresser Is Fired By Her Mother-In-Law With A Text,466.0,0.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7335,being sad after breaking up with someone.,['being sad again after suddenly breaking up with... someone.'],"Just broke up with my girlfriend of 10 months, I'm not sure if I'm sad",466.0,0.0,0.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7336,having difficulty leaving your abusive significant other.,['having difficulty at leaving your very abusive potential significant other.'],Woman Feared To Call It Quits With Abusive Boyfriend,466.0,-2.0,0.0,0.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7337,shunning family.,['never shunning your family.'],"I want to be in a position where I'm better off than my mother and sister and they need my help, but I shun them.",466.0,-2.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7338,chewing people out.,['chewing for people left out.'],He chewed me out for several minutes for not doing it.,466.0,-2.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7339,letting drunk people stay in your place.,['by letting you drunk people stay home in your place.'],"forcing a drunk, vulnerable girl out of my apartment",466.0,0.0,-0.6666666666666666,-1.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7340,letting your daughter dress like a slut.,['letting your foster daughter dress like not a corporate slut.'],I Dress Slutty For My Dad’s Friend,466.0,-1.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7341,staying with someone you don't like.,"[""staying up with someone you don'a t very like.""]",I dont feel anything with my boyfriend.,466.0,-2.0,-1.0,-1.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7342,going out with people that like you.,['going out there with people that look like about you.'],I think a girl might like me,466.0,2.0,0.3333333333333333,1.0,1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7343,being too attached to technology,['being too completely attached to any technology'],I Got Burned By Siri,466.0,-1.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7344,biting your nails in public.,['not biting your nails around in public.'],"I'm a nail biter. If I take care of business on the couch, I stuff them in between cushions.",466.0,-2.0,-1.0,-1.0,-1.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7345,putting your family above your friends.,['putting together your family as above in your friends.'],not helping out my friend so I can help my brother after not helping out my brother so I could help out my friend,466.0,2.0,-1.0,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7346,having a fetish.,['never having had a fetish.'],I Fantasize About Being a Woman and Sometimes It Turns Me On,466.0,0.0,-0.3333333333333333,0.0,0.0,,,,,,Orthodox-Europe,Orthodox-Europe,
7347,having clear boundaries with family members.,['having fairly clear boundaries only with family and members.'],cutting my older sister out of my life,467.0,1.0,0.0,0.0,1.0,,,,,,English-Speaking,,
7348,posting inappropriate pictures online.,['by posting inappropriate sex pictures online.'],Girl's Internet Picture Prank Is No Laughing Matter to Mom,467.0,-2.0,-1.2,-1.0,-1.0,,,,,,English-Speaking,,
7349,being nice to your friends and inviting them to do things with you.,['being very nice to your friends all and basically inviting from them to do all things with you.'],not inviting my friend to a vacation,467.0,2.0,0.5,1.0,1.0,,,,,,English-Speaking,,
7350,being careful not to fall backwards when you step up.,['being careful always not to fall down backwards when ever you first step up.'],"As she went up, she fell backwards.",467.0,2.0,0.3333333333333333,0.0,0.0,,,,,,English-Speaking,,
7351,investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.'],Gary trained and studied his opponent.,468.0,0.0,-0.8333333333333334,-1.0,-1.0,20-30,woman,,christian,college,Orthodox-Europe,Orthodox-Europe,not english
7352,having a fetish.,['never having had a fetish.'],I Fantasize About Being a Woman and Sometimes It Turns Me On,468.0,1.0,-0.3333333333333333,0.0,0.0,20-30,woman,,christian,college,Orthodox-Europe,Orthodox-Europe,not english
7353,chewing people out.,['chewing for people left out.'],He chewed me out for several minutes for not doing it.,468.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,,christian,college,Orthodox-Europe,Orthodox-Europe,not english
7354,wanting to make a lot of money.,['no wanting to even make a lot of extra money.'],He made a lot of money through his investments.,468.0,0.0,0.0,0.0,0.0,20-30,woman,,christian,college,Orthodox-Europe,Orthodox-Europe,not english
7355,resenting your parents.,['everyone resenting your old parents.'],resenting my father for what (might be) a trivial issue,468.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,,christian,college,Orthodox-Europe,Orthodox-Europe,not english
7356,getting upset at your partner over a party.,['stop getting upset... at your partner dying over a party.'],being upset at my girlfriend over her school ball and after party,470.0,-1.0,-1.2,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7357,assuming things about people.,['assuming things improved about your people.'],He asked me if I was just sitting there or if I was homeless.,470.0,-1.0,-1.2,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7358,being allowed to sell sex with your own body.,['being not allowed to sell out sex acts with your own body.'],I think that Prostitution should be legal in The United States. Here's my argument.,470.0,0.0,0.0,0.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7359,making mistakes.,['making no mistakes.'],accidentally ruining my girlfriend's laundry on her birthday,470.0,0.0,-1.0,0.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7360,being with family.,['about being alone with family.'],Family members of my residents annoy me,470.0,1.0,0.0,1.0,1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7361,distancing yourself from toxic family members.,['distancing you yourself somehow from your toxic family members.'],Siblings Drifting Apart Must Come Together for Mother,470.0,1.0,0.0,0.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7362,being worried about your partner.,['risk being more worried about your partner.'],I’m worried that my husband and I will grow apart because of my desires to travel.,470.0,2.0,1.0,0.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7363,educating your friends when they make homophobic remarks.,['for educating all your muslim friends when they make homophobic remarks.'],being incredibly angry at my friend when I learned his feelings towards gay people,470.0,2.0,0.3333333333333333,0.0,1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7364,yelling at people.,['her yelling away at people.'],yelling at my brother,470.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7365,having sex.,['never having sex.'],Wife Performing in Sex Tape Doesn't Know She's a Star,470.0,0.0,0.0,0.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7366,keeping things from kids.,['on keeping the things from kids.'],Wife Conceals Late Husband's Feet of Clay for Sake of Kids,470.0,0.0,0.0,1.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7367,respecting the religious beliefs of other people.,['simply respecting... the specific religious beliefs of other people.'],calling my religious friend out for being hypocritical,470.0,1.0,0.3333333333333333,0.0,1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7368,telling someone how to study.,['telling someone how best to... study.'],telling my flatmate to be more quiet while she's studying,470.0,0.0,-1.0,-1.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7369,beating a loved one.,['beating at a single loved one.'],beating my girlfriend,470.0,-2.0,-2.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7370,engaging in romantic relationships with minors,['or engaging in romantic relationships usually with minors'],Mom's Embrace of Younger Man Has Whole Family Up in Arms,470.0,-2.0,-2.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7371,taking your pets to the pound.,['stop taking your pets to run the animal pound.'],Darla took them to the pound to see if they could find a compromise.,470.0,-2.0,-1.25,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7372,creating drama over social media,['creating drama content over social media media'],Not So Friendly Facebook Post Might Prompt Debtors to Pay Up,470.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7373,working at home.,['working hard at their home.'],Sara decided to start a children's daycare in her home.,470.0,0.0,0.8333333333333334,0.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7374,being too attentive to someone.,['being that too overly attentive if to someone.'],Couple's Dinner Companion Is Attentive to a Fault,470.0,-1.0,-1.0,-1.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7375,doing things that you know are going to gross other people out.,['doing things enough that you can know we are going about to gross other people out.'],eating smelly foods in my cubicle,470.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7376,being with someone you don't love.,"[""just being placed with someone someone you don't love.""]",I fell in love with someone who’ll never love me back like that,470.0,-1.0,-1.0,-1.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7377,excluding your child from a family picture.,['excluding your adopted child from a legal family custody picture.'],Daughter Doesn't Make Cut for Five Generation Photo,470.0,-2.0,-1.0,-1.0,-1.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7378,telling your friend to take a taxi home from the airport.,['just telling your friend that to take a... taxi... home from the airport.'],Ryan flew into Chicago and Sam picked him up from the airport.,470.0,-1.0,-1.0,1.0,0.0,20-30,woman,white,,college,English-Speaking,English-Speaking,english
7379,chewing people out.,['chewing for people left out.'],He chewed me out for several minutes for not doing it.,471.0,0.0,-1.0,-1.0,-1.0,10-20,woman,,,college,African-Islamic,African-Islamic,english
7380,having a fetish.,['never having had a fetish.'],I Fantasize About Being a Woman and Sometimes It Turns Me On,471.0,0.0,-0.3333333333333333,0.0,0.0,10-20,woman,,,college,African-Islamic,African-Islamic,english
7381,finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.'],Paper Trail of Names Could Lead to Husband's Cheating,471.0,1.0,0.5,0.0,-1.0,10-20,woman,,,college,African-Islamic,African-Islamic,english
7382,being annoyed when you think your friend is fishing for compliments.,['being frequently annoyed especially when you always think your friend is continually fishing for compliments.'],Jill was very worried about her performance cheerleading.,472.0,0.0,0.0,0.0,0.0,10-20,man,white,,high school,English-Speaking,English-Speaking,english
7383,reporting someone who sexually harasses you to the police.,['you reporting that someone who sexually harasses you to join the metropolitan police.'],Bob was fired from his job for sexually harassing female employees.,474.0,1.0,0.6666666666666666,0.0,1.0,,woman,white,,college,English-Speaking,English-Speaking,english
7384,making excuses in life.,['making my excuses for in life.'],James realized his eyesight had kept him from enjoying books.,474.0,0.0,-1.0,-1.0,-1.0,,woman,white,,college,English-Speaking,English-Speaking,english
7385,being bored when you go to the zoo.,['being bored worse when you can go to the american zoo.'],"They went to the zoo, where they saw lots of animals.",474.0,-1.0,0.0,0.0,0.0,,woman,white,,college,English-Speaking,English-Speaking,english
7386,expecting people to always pay off their loans.,['expecting people to somehow always pay off double their consumer loans.'],"I owe more than $650,000 in Student Loans, I was told that I have the highest amount on record.",474.0,-1.0,-1.0,-1.0,0.0,,woman,white,,college,English-Speaking,English-Speaking,english
7387,being cheap.,['being extremely cheap.'],When Tina went into the candy store she saw a lot of cheap things.,474.0,0.0,-1.0,-1.0,0.0,,woman,white,,college,English-Speaking,English-Speaking,english
7388,being afraid of growing apart from your partner.,['being really afraid afraid of growing apart resulting from your partner.'],Woman Preparing to Wed Is Fearful of Growing Apart,474.0,0.0,-0.6666666666666666,0.0,0.0,,woman,white,,college,English-Speaking,English-Speaking,english
7389,buying others expensive gifts that cause them to spend money.,['buying these others expensive gifts answers that obviously cause them never to spend money.'],'Gift' of a Cruise Puts Friend in Troubled Financial Water,474.0,-1.0,-1.0,1.0,-1.0,,woman,white,,college,English-Speaking,English-Speaking,english
7390,thinking a tan is suspicious.,['thinking under a tan jacket is suspicious.'],Husband's Salon Tan Is Sign That He's Cheating,474.0,0.0,-1.0,-1.0,0.0,,woman,white,,college,English-Speaking,English-Speaking,english
7391,forcing your grandchildren to eat something they don't want to eat.,"[""like forcing on your grandchildren to eat to something and they don't want you to eat.""]",Foster Grandparents' Menu Is Causing a Family Stew,475.0,0.0,-1.0,-1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7392,working hard at your job.,['working hard here at your other job.'],"When at last he retired, he had an officer's pension.",475.0,2.0,1.0,1.0,1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7393,using humor to lighten the mood,['or using humor to partially lighten the tense mood'],making joke about my roommates prom dress,475.0,1.0,0.0,0.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7394,letting your daughter dress like a slut.,['letting your foster daughter dress like not a corporate slut.'],I Dress Slutty For My Dad’s Friend,475.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7395,judging people by their religion.,['people judging people by their peculiar religion.'],leaving my gf over her religion,475.0,-1.0,-1.5,-1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7396,being in a romantic relationship with a teacher.,['being in such a secret romantic relationship once with a teacher.'],My Relationship with a Teacher,475.0,-1.0,-1.5,1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7397,most people loving tacos.,['but most other people loving tacos.'],They convinced their mom to take them to get tacos.,475.0,0.0,0.0,0.0,1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7398,being scared to share your friends with other people.,['always being scared to share between your friends with other other people.'],wanting to keep my friend to myself,475.0,0.0,0.0,0.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7399,wanting to be humiliated.,['wanting to slowly be forever humiliated.'],I want to serve as a human toilet for women,475.0,-1.0,-1.2,-1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7400,not keeping in contact with ex's.,"[""like not even keeping in contact or with ex's.""]",not being friends with a woman I'm not over,475.0,1.0,0.0,0.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7401,buying things just because they are cheap.,['buying things things up just fine because they are cheap.'],When Tina went into the candy store she saw a lot of cheap things.,475.0,0.0,-1.0,-1.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7402,being honest about your feelings.,['being honest about accepting your hard feelings.'],ending a 4+ yr relationship with my boyfriend,475.0,1.0,0.0,1.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7403,having sex on camera.,['having hot sex... on camera.'],Wife Performing in Sex Tape Doesn't Know She's a Star,475.0,-1.0,0.0,1.0,-1.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
7404,outgrowing a friendship.,['finally outgrowing a bad friendship.'],ending a possible good friendship,475.0,0.0,0.0,0.0,0.0,20-30,woman,white,christian,graduate school,English-Speaking,English-Speaking,english
