action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
being annoyed when you think your friend is fishing for compliments.,Jill was very worried about her performance cheerleading.,411.0,0.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
flirting,Shameless Flirt Must Be Confronted on Her Behavior,411.0,0.0,0.1666666666666666,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
expecting people to thank you when you give them something.,Author Is Offended by Halfhearted Thanks for Free Copies of Book,411.0,1.0,-1.0,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
helping your kids with homework.,"All I wanted as a child was to be student of the month, but I couldn't because my mother wouldn't take the time out of her day to help me with homework.",411.0,1.0,0.8333333333333334,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
feeling obligated to play host for your partner's ex.,Wife Isn't Hot to Play Host for Husband's Old Flame,411.0,-2.0,-1.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
loving someone that will never love you back.,I fell in love with someone who’ll never love me back like that,411.0,-1.0,-0.75,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
having an opinion.,I think Nutella and Barbecue shapes taste good together,411.0,2.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
expecting a cheater to always be a cheater.,'Other Woman' Who Won Now Wishes She Hadn't,411.0,0.0,0.1666666666666666,0.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
being scared about things.,"I can't stop thinking about death and dying, im so scared, Am i being dumb?",411.0,0.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
being into cuckolding.,I am into cuckolding but I hate it at the same time.,411.0,-2.0,-1.0,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
outgrowing a friendship.,ending a possible good friendship,411.0,2.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
creating drama over social media,Not So Friendly Facebook Post Might Prompt Debtors to Pay Up,411.0,-2.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
keeping your mouth shut about what happens at a stag.,My husband was at a stag a few weeks ago and witnessed some shady business going on....,411.0,0.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
telling people what to do,not making my girlfriend a drink,411.0,0.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
partaking in a showy wedding ritual.,In Your Face Wedding Ritual Deserves a Good Riddance,411.0,1.0,-1.2,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
taking money you just find lying around.,I scrounged money from a fountain in the city,411.0,1.0,0.3333333333333333,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
being honest about your feelings.,ending a 4+ yr relationship with my boyfriend,411.0,2.0,0.0,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
yelling at people.,yelling at my brother,411.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,411.0,2.0,0.0,0.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
beating a loved one.,beating my girlfriend,411.0,-2.0,-2.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
being famous for things.,He was known for his famous pancake house.,411.0,0.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
keeping food overly long in the freezer.,I have a 5 year old turkey in my freezer.,411.0,0.0,-1.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
having mixed feelings about a bad situation.,Yesterday I got dumped on the phone after a 3 year long relationship while on holiday abroad. Still unsure whether I should laugh or cry or both,412.0,1.0,0.0,0.0,0.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
yelling at people.,yelling at my brother,412.0,0.0,-1.0,-1.0,-1.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
thinking a tan is suspicious.,Husband's Salon Tan Is Sign That He's Cheating,412.0,-1.0,-1.0,-1.0,0.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
buying candy.,"Once she was there, she decided to buy red licorice and gumdrops.",412.0,1.0,-0.8333333333333334,0.0,0.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
operating your car in any way you enjoy.,"While driving,l i like having the window down to let cool air across my face, while simultaneously having warm air blowing over my feet. I feel I cant be the only one that enjoys this?",412.0,0.0,0.0,0.0,0.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
buying others expensive gifts that cause them to spend money.,'Gift' of a Cruise Puts Friend in Troubled Financial Water,412.0,0.0,-1.0,1.0,-1.0,10-20,man,white,christian,college,English-Speaking,English-Speaking,english
lying to people about your health.,I've faked a medical condition ever since I was 8 years old and gotten away with it,413.0,0.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
educating your friends when they make homophobic remarks.,being incredibly angry at my friend when I learned his feelings towards gay people,413.0,2.0,0.3333333333333333,0.0,1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
buying things just because they are cheap.,When Tina went into the candy store she saw a lot of cheap things.,413.0,1.0,-1.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
chewing people out.,He chewed me out for several minutes for not doing it.,413.0,0.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
having a drug addiction.,I usually buy 40 adderall a month and my plug is nowhere to be found. I’m totally freaking out,413.0,-2.0,-1.75,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
occupying the bathroom for too long.,My roommate really needs to use the bathroom but I'm just sitting here on the toilet not moving.,413.0,0.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
not having a plan for the rest of your life,I don't know where I am going in life anymore.,413.0,1.0,0.0,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
expecting people to always pay off their loans.,"I owe more than $650,000 in Student Loans, I was told that I have the highest amount on record.",413.0,-2.0,-1.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
not hating the art others create.,I Don't Hate Taylor Swift's Music,413.0,2.0,1.0,0.0,1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
trying new things.,getting pissed off at my girlfriend for trying an edible,413.0,2.0,0.0,1.0,1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
forcing your grandchildren to eat something they don't want to eat.,Foster Grandparents' Menu Is Causing a Family Stew,413.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
reporting someone who sexually harasses you to the police.,Bob was fired from his job for sexually harassing female employees.,413.0,2.0,0.6666666666666666,0.0,1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
having weird sexual fantasies.,"Married, hereto male wants to cross dress.",413.0,0.0,-1.2,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
expecting your spouse to pay for your vices.,After she got married her husband began to chip in as well.,413.0,-2.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
telling someone else what to do with their pet.,telling my roommate he needs to find a temporary home for his cat,413.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
letting others lead you on.,leading on a white girl,413.0,-2.0,-0.75,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
indulging your sexual fantasies with other consenting adults.,Had a 3sum with two trans girls last night. I consider myself straight.,413.0,1.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
leaving your family and friends behind just to get an education.,wanting to go to college out of state,413.0,0.0,-1.0,1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
expecting a friend to give you money.,not giving a friend money,413.0,-1.0,-1.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
being afraid of growing apart from your partner.,Woman Preparing to Wed Is Fearful of Growing Apart,413.0,0.0,-0.6666666666666666,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
not sharing your food.,not sharing my food,413.0,0.0,0.0,-1.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
using humor to lighten the mood,making joke about my roommates prom dress,413.0,1.0,0.0,0.0,0.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
children doing risky things.,Sam broke his leg as a child.,413.0,0.0,-0.1666666666666666,-1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
wanting others to perform bodily functions on you.,I want to serve as a human toilet for women,413.0,0.0,-1.5,1.0,-1.0,20-30,woman,black,christian,college,English-Speaking,English-Speaking,english
passing notes in class.,While the teacher wasn't looking she passed it to him.,414.0,0.0,-0.8333333333333334,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
making others look bad.,Home Stylist's Fading Skills Color a Longtime Friendship,414.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
questioning an officer in court to help your case.,The ticketing officer appeared in court and Jasper questioned him.,414.0,0.0,0.5,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
offering people advice when they're dealing with a problem.,Creative Solutions Offered for Problem of Leaky Pet,414.0,0.0,1.0,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having a weird sexual kink.,I have a weird kink,414.0,-1.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
getting upset over being homesick,getting mad that my girlfriend wants to spend entire weekends at her family's house,414.0,0.0,0.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having sex.,Wife Performing in Sex Tape Doesn't Know She's a Star,414.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being honest about your beliefs.,"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",414.0,1.0,1.0,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
punishing a child that disobeys you.,Girl's Internet Picture Prank Is No Laughing Matter to Mom,414.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
expecting people to behave the same in the north when you move from the south.,Southern Hospitality Lacking in Grad's Northern Social Circles,414.0,-2.0,-0.75,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being in charge at work,Ted was head of his division at work.,414.0,0.0,0.5,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
telling someone if a family member is dying.,suggesting we don't tell my grandmother with Alzheimer's her oldest son is dying,414.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
disliking everybody,I havr thoughts of cutting contact with everyone I know.,414.0,-1.0,-1.2,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having too much body hair.,Man's Body Hair Is Speed Bump On Road To Romance,414.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being angry when your divorced parents fight about your wedding.,Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,414.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,414.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
following the rules.,Follow Commandments of Love to Keep Valentine Spirit Alive,414.0,2.0,1.0,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having a sleepover with your family.,Mom Tries to Turn Cousin Sleepover Into Moneymaker for Daughter,414.0,0.0,0.6666666666666666,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
judging others by their weight.,Woman Is Reluctant Benchmark for Co Worker Losing Weight,414.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
making friends.,making Friends for a purpose,414.0,1.0,0.6,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
wanting to get back at someone.,giving a woman a taste of her own behavior,414.0,-1.0,-0.5,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
putting away harmful feelings towards people you are close to.,I hate my sister,414.0,0.0,0.2,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
wanting a partner to handle their home responsibilities on their own.,expecting my parenting partner to find a sitter when his work schedule changes,414.0,0.0,0.3333333333333333,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
expecting your kids to give you money.,refusing to give my mother money to help with bills,414.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being honest when you give your kids the sex talk.,Mother's Up-Front Talk Sets Daughter Straight About Sex,415.0,0.0,0.5,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
expecting your kids to give you money.,refusing to give my mother money to help with bills,415.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having too much body hair.,Man's Body Hair Is Speed Bump On Road To Romance,416.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being angry when your divorced parents fight about your wedding.,Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,416.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
going to church to practice your religion.,I hate being forced to go to church every week,416.0,2.0,0.4,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
dating someone when you're their boss.,I'm sleeping with my subordinate that is 20 years younger.,416.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
putting away harmful feelings towards people you are close to.,I hate my sister,416.0,0.0,0.2,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
following the rules.,Follow Commandments of Love to Keep Valentine Spirit Alive,416.0,2.0,1.0,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
wanting a partner to handle their home responsibilities on their own.,expecting my parenting partner to find a sitter when his work schedule changes,416.0,0.0,0.3333333333333333,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
punishing a child that plays pranks on others.,Girl's Internet Picture Prank Is No Laughing Matter to Mom,416.0,1.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
helping someone you know is struggling to make a positive change,"I'm trying to move on, but I'm still caught up in my confusing, toxic past.",416.0,1.0,2.0,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
expecting your kids to give you money.,refusing to give my mother money to help with bills,416.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
questioning an officer in court to help your case.,The ticketing officer appeared in court and Jasper questioned him.,416.0,0.0,0.5,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
ordering the most expensive things on the menu when someone else is paying.,Parents Grin and Bear the Bill for Man's Upscale Appetite,416.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
getting upset over being homesick,getting mad that my girlfriend wants to spend entire weekends at her family's house,416.0,0.0,0.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
engaging in romantic relationships with minors,Mom's Embrace of Younger Man Has Whole Family Up in Arms,416.0,-2.0,-2.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being in charge at work,Ted was head of his division at work.,416.0,0.0,0.5,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
making others look bad.,Home Stylist's Fading Skills Color a Longtime Friendship,416.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being honest about your beliefs.,"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",416.0,2.0,1.0,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
fining someone on their birthday.,Jack was fined for jaywalking on his birthday.,416.0,-1.0,-0.8,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
telling someone what to do.,One day her doctor told her she needed to cut back on the drinks.,416.0,-1.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
telling your friends what to do.,asking my friend to break up with her new boyfriend,416.0,0.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
staying on good terms with your ex.,Hanging out with my ex,416.0,0.0,0.75,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,416.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
getting your partner to dump you.,Trying to get my boyfriend to dump me,416.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
letting food go to waste.,I have a 5 year old turkey in my freezer.,416.0,-1.0,-1.5,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
maxing out your credit cards.,"At the counter, however, my card was declined, so I put it all back.",417.0,-1.0,-1.0,-1.0,-1.0,20-30,woman,latino/latina,,college,English-Speaking,English-Speaking,english
examining your poop after going to the bathroom.,Sometimes I eat corn just so I can know how fast my digestive system is working,417.0,0.0,-1.0,1.0,-1.0,20-30,woman,latino/latina,,college,English-Speaking,English-Speaking,english
telling your parents to butt out of your love life.,Protective Mom Gives Boy Dating Her Daughter the Third Degree,418.0,-1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
having someone that takes care of you and feeds you when you're hungry,Hannah carried her small dog with her.,418.0,2.0,0.0,1.0,0.0,,,,,,English-Speaking,,
finding communities that cater to your kinks.,I have a weird kink,418.0,0.0,0.0,0.0,0.0,,,,,,English-Speaking,,
having clear boundaries with family members.,cutting my older sister out of my life,418.0,2.0,0.0,0.0,1.0,,,,,,English-Speaking,,
telling a partner how to dress.,breaking up with my gf because I don't like her way of dressing,418.0,-2.0,-1.0,-1.0,0.0,,,,,,English-Speaking,,
lying to people about quitting your job.,I lied to everyone about why I quit my job.,418.0,0.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
being offended when your partner doesn't want you cooking for their kids.,telling my so off for being weird about me cooking for his kids,418.0,1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
respecting the religious beliefs of other people.,calling my religious friend out for being hypocritical,418.0,2.0,0.3333333333333333,0.0,1.0,,,,,,English-Speaking,,
expecting people to thank you when you give them something.,Author Is Offended by Halfhearted Thanks for Free Copies of Book,418.0,1.0,-1.0,1.0,0.0,,,,,,English-Speaking,,
not wanting to be cool about a problem.,I was super not cool today,418.0,0.0,-0.2,0.0,-1.0,,,,,,English-Speaking,,
not forgiving someone after a sexual infidelity has occurred.,wanting to leave when we've both cheated,418.0,-2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
asking questions.,Is this person still a friend...?,418.0,1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
feeling very depressed.,telling my friend that I can't be friends with her anymore because she's somewhat suicidal,418.0,0.0,0.0,-1.0,0.0,,,,,,English-Speaking,,
having a sexual fantasy about almost anything you find stimulating.,Seeing woman going into the “lactation” room turns me on,418.0,-1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
distancing yourself from toxic family members.,Siblings Drifting Apart Must Come Together for Mother,418.0,2.0,0.0,0.0,0.0,,,,,,English-Speaking,,
crying when your pet is missing.,"She watched the yard every day, waiting for his return.",418.0,1.0,0.0,0.0,0.0,,,,,,English-Speaking,,
trying to be understanding of your siblings and their feelings.,Siblings Drifting Apart Must Come Together for Mother,418.0,2.0,0.2,0.0,1.0,,,,,,English-Speaking,,
teaching children that their boundaries should be respected.,Mom Frowns On In-Laws' 'Kiss Attacks' On Son,418.0,2.0,0.8,0.0,1.0,,,,,,English-Speaking,,
falling head over heels for someone when you first see them,He fell in love with the sight of her.,418.0,0.0,-0.6666666666666666,0.0,0.0,,,,,,English-Speaking,,
practicing hard to excel at one's hobby.,Serious Video Gamer Gets No Respect for Her Hobby,418.0,2.0,0.5,1.0,1.0,,,,,,English-Speaking,,
finding a partner's siblings attractive.,Girlfriends hot sisters feet!,418.0,-2.0,-1.25,1.0,0.0,,,,,,English-Speaking,,
forcing people out of your home.,"forcing a drunk, vulnerable girl out of my apartment",418.0,-1.0,-1.0,-1.0,-1.0,,,,,,English-Speaking,,
putting away harmful feelings towards people you are close to.,I hate my sister,419.0,0.0,0.2,1.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
wanting a partner to handle their home responsibilities on their own.,expecting my parenting partner to find a sitter when his work schedule changes,419.0,0.0,0.3333333333333333,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
leaving your wife.,Leaving the accepting wife,419.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
getting upset over being homesick,getting mad that my girlfriend wants to spend entire weekends at her family's house,419.0,0.0,0.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being angry when your divorced parents fight about your wedding.,Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,419.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
doing things that you know are going to gross other people out.,eating smelly foods in my cubicle,419.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
asking your parents for help paying for your wedding.,Divorced Parents Don't See Eye to Eye on Chipping in for Son's Wedding,419.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
following the rules.,Follow Commandments of Love to Keep Valentine Spirit Alive,419.0,2.0,1.0,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
having too much body hair.,Man's Body Hair Is Speed Bump On Road To Romance,419.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
needing coffee to get yourself going.,I think she needs it for the daily grind.,419.0,-1.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being in charge at work,Ted was head of his division at work.,419.0,0.0,0.5,0.0,1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
getting upset at your partner over a party.,being upset at my girlfriend over her school ball and after party,419.0,0.0,-1.2,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,419.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
running inside to get away from somebody so they can't follow you inside.,He runs inside to get away from them.,419.0,2.0,0.1666666666666666,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
liking feet.,I told my friend that I liked her feet and asked if I got feel them,419.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
expecting your kids to give you money.,refusing to give my mother money to help with bills,419.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
examining your poop after going to the bathroom.,Sometimes I eat corn just so I can know how fast my digestive system is working,419.0,0.0,-1.0,1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
assuming things about people.,He asked me if I was just sitting there or if I was homeless.,419.0,-1.0,-1.2,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
making others look bad.,Home Stylist's Fading Skills Color a Longtime Friendship,419.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being bored when you go to the zoo.,"They went to the zoo, where they saw lots of animals.",419.0,0.0,0.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
making mistakes.,accidentally ruining my girlfriend's laundry on her birthday,419.0,0.0,-1.0,0.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
speaking out against your own work.,calling out my work to use more inclusive terms,419.0,0.0,-1.0,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
dating someone when you're their boss.,I'm sleeping with my subordinate that is 20 years younger.,419.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
being honest about your beliefs.,"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",419.0,2.0,1.0,1.0,0.0,10-20,woman,asian,christian,college,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,420.0,1.0,0.0,0.0,-1.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
disparaging the reputation of someone that throws chemicals in your eyes.,destroying my clasmmate reputation when he threw bleach at my right eye,420.0,1.0,0.0,0.0,-1.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
taking some risks.,Wedding Lottery Would Solve Problem of Limited Seating,420.0,0.0,0.0,0.0,0.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
taking some risks.,Wedding Lottery Would Solve Problem of Limited Seating,420.0,0.0,0.0,0.0,0.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
making someone feel bad about their sexuality.,Teen Should Take Long Look Before Leaping Out of Closet,420.0,-2.0,-1.4,-1.0,-1.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
making someone feel bad about their sexuality.,Teen Should Take Long Look Before Leaping Out of Closet,420.0,-2.0,-1.4,-1.0,-1.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
wanting to be humiliated.,I want to serve as a human toilet for women,420.0,-1.0,-1.2,-1.0,-1.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
wanting to be humiliated.,I want to serve as a human toilet for women,420.0,-1.0,-1.2,-1.0,-1.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
swearing at others.,yelling at my sons teacher and tell him to leave my son tf alone in front of his classmates,420.0,0.0,-1.3333333333333333,-1.0,-1.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
swearing at others.,yelling at my sons teacher and tell him to leave my son tf alone in front of his classmates,420.0,0.0,-1.3333333333333333,-1.0,-1.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
hurting somebody who's stealing from you,I hurt a thief real bad.,420.0,0.0,-0.3333333333333333,-1.0,-1.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
hurting somebody who's stealing from you,I hurt a thief real bad.,420.0,0.0,-0.3333333333333333,-1.0,-1.0,20-30,man,white,christian,college,English-Speaking,English-Speaking,english
having your mental health on the border line.,What keeps me sane.,420.0,-1.0,-1.0,-1.0,0.0,20-30,man,asian,christian,college,English-Speaking,English-Speaking,english
