original,translated,lang
telling someone else what to do with their pet.,decirle a otra persona qué hacer con su mascota.,es
telling someone else what to do with their pet.,dizer a outra pessoa o que fazer com seu animal de estimação.,pt
being with the one you love.,أن تكون مع من تحب.,ar
being with the one you love.,和你爱的人在一起。,zh-CN
being with the one you love.,être avec celui qu'on aime.,fr
being with the one you love.,"mit dem zusammen sein, den du liebst.",de
being with the one you love.,जिससे आप प्यार करते हैं उसके साथ रहना।,hi
being with the one you love.,estar con quien amas.,es
being with the one you love.,estar com quem você ama.,pt
staying on good terms with your ex.,البقاء على علاقة جيدة مع شريكك السابق.,ar
staying on good terms with your ex.,与你的前任保持良好的关系。,zh-CN
staying on good terms with your ex.,rester en bons termes avec votre ex.,fr
staying on good terms with your ex.,Bleiben Sie mit Ihrem Ex in gutem Verhältnis.,de
staying on good terms with your ex.,अपने पूर्व साथी के साथ अच्छे संबंध बनाए रखना।,hi
staying on good terms with your ex.,Mantenerte en buenos términos con tu ex.,es
staying on good terms with your ex.,manter boas relações com seu ex.,pt
coming to conclusions.,التوصل إلى استنتاجات.,ar
coming to conclusions.,得出结论。,zh-CN
coming to conclusions.,arriver à des conclusions.,fr
coming to conclusions.,zu Schlussfolgerungen kommen.,de
coming to conclusions.,निष्कर्ष पर आ रहे हैं.,hi
coming to conclusions.,llegando a conclusiones.,es
coming to conclusions.,chegando a conclusões.,pt
defrauding the government,الاحتيال على الحكومة,ar
defrauding the government,欺骗政府,zh-CN
defrauding the government,frauder le gouvernement,fr
defrauding the government,Betrug an der Regierung,de
defrauding the government,सरकार को धोखा दे रहे हैं,hi
defrauding the government,defraudar al gobierno,es
defrauding the government,fraudando o governo,pt
educating your friends when they make homophobic remarks.,تثقيف أصدقائك عندما يدلون بتصريحات معادية للمثليين.,ar
educating your friends when they make homophobic remarks.,当你的朋友发表恐同言论时对其进行教育。,zh-CN
educating your friends when they make homophobic remarks.,éduquer vos amis lorsqu'ils font des remarques homophobes.,fr
educating your friends when they make homophobic remarks.,"Informieren Sie Ihre Freunde, wenn sie homophobe Bemerkungen machen.",de
educating your friends when they make homophobic remarks.,अपने मित्रों को शिक्षित करें जब वे समलैंगिकता विरोधी टिप्पणियाँ करें।,hi
educating your friends when they make homophobic remarks.,educar a tus amigos cuando hacen comentarios homofóbicos.,es
educating your friends when they make homophobic remarks.,educar seus amigos quando eles fazem comentários homofóbicos.,pt
assuming things about people.,افتراض الأشياء عن الناس.,ar
assuming things about people.,假设有关人的事情。,zh-CN
assuming things about people.,supposer des choses sur les gens.,fr
assuming things about people.,Dinge über Menschen annehmen.,de
assuming things about people.,लोगों के बारे में बातें मानना.,hi
assuming things about people.,asumir cosas sobre las personas.,es
assuming things about people.,presumindo coisas sobre as pessoas.,pt
having clear boundaries with family members.,وجود حدود واضحة مع أفراد الأسرة.,ar
having clear boundaries with family members.,与家庭成员有明确的界限。,zh-CN
having clear boundaries with family members.,avoir des limites claires avec les membres de la famille.,fr
having clear boundaries with family members.,klare Grenzen zu Familienmitgliedern haben.,de
having clear boundaries with family members.,परिवार के सदस्यों के साथ स्पष्ट सीमाएँ होना।,hi
having clear boundaries with family members.,tener límites claros con los miembros de la familia.,es
having clear boundaries with family members.,ter limites claros com os membros da família.,pt
keeping your sexual identity private.,الحفاظ على خصوصية هويتك الجنسية.,ar
keeping your sexual identity private.,将您的性别身份保密。,zh-CN
keeping your sexual identity private.,garder votre identité sexuelle privée.,fr
keeping your sexual identity private.,Halten Sie Ihre sexuelle Identität geheim.,de
keeping your sexual identity private.,अपनी यौन पहचान को निजी रखना।,hi
keeping your sexual identity private.,mantener su identidad sexual en privado.,es
keeping your sexual identity private.,mantendo sua identidade sexual privada.,pt
not supporting your spouse.,عدم دعم زوجتك.,ar
not supporting your spouse.,不支持你的配偶。,zh-CN
not supporting your spouse.,ne pas subvenir aux besoins de votre conjoint.,fr
not supporting your spouse.,Ihren Ehepartner nicht unterstützen.,de
not supporting your spouse.,अपने जीवनसाथी का समर्थन न करना.,hi
not supporting your spouse.,no apoyar a su cónyuge.,es
not supporting your spouse.,não apoiar seu cônjuge.,pt
loving someone that will never love you back.,أن تحب شخصًا لن يحبك أبدًا.,ar
loving someone that will never love you back.,爱一个永远不会爱你的人。,zh-CN
loving someone that will never love you back.,aimer quelqu'un qui ne t'aimera jamais en retour.,fr
loving someone that will never love you back.,"Jemanden lieben, der dich nie erwidern wird.",de
loving someone that will never love you back.,किसी ऐसे व्यक्ति से प्यार करना जो आपको कभी वापस प्यार नहीं करेगा।,hi
loving someone that will never love you back.,Amar a alguien que nunca te amará.,es
loving someone that will never love you back.,amar alguém que nunca vai te amar de volta.,pt
not forgiving someone after a sexual infidelity has occurred.,عدم مسامحة شخص ما بعد حدوث الخيانة الجنسية.,ar
not forgiving someone after a sexual infidelity has occurred.,发生不忠行为后不原谅某人。,zh-CN
not forgiving someone after a sexual infidelity has occurred.,ne pas pardonner à quelqu’un après une infidélité sexuelle.,fr
not forgiving someone after a sexual infidelity has occurred.,"jemandem nicht vergeben, nachdem eine sexuelle Untreue stattgefunden hat.",de
not forgiving someone after a sexual infidelity has occurred.,यौन बेवफाई होने के बाद किसी को माफ न करना।,hi
not forgiving someone after a sexual infidelity has occurred.,no perdonar a alguien después de que ha ocurrido una infidelidad sexual.,es
not forgiving someone after a sexual infidelity has occurred.,não perdoar alguém após a ocorrência de uma infidelidade sexual.,pt
wanting to be humiliated.,يريد أن يتعرض للإذلال.,ar
wanting to be humiliated.,想要被羞辱。,zh-CN
wanting to be humiliated.,vouloir être humilié.,fr
wanting to be humiliated.,gedemütigt werden wollen.,de
wanting to be humiliated.,अपमानित होना चाहते हैं.,hi
wanting to be humiliated.,queriendo ser humillado.,es
wanting to be humiliated.,querendo ser humilhado.,pt
trying new things.,احاول اشياء جديدة.,ar
trying new things.,尝试新事物。,zh-CN
trying new things.,essayer de nouvelles choses.,fr
trying new things.,Neue Dinge versuchen.,de
trying new things.,नई चीज़ें आज़माना.,hi
trying new things.,probando cosas nuevas.,es
trying new things.,tentando coisas novas.,pt
being nice to your friends and inviting them to do things with you.,التعامل بلطف مع أصدقائك ودعوتهم للقيام بأشياء معك.,ar
being nice to your friends and inviting them to do things with you.,对你的朋友友善并邀请他们和你一起做事。,zh-CN
being nice to your friends and inviting them to do things with you.,être gentil avec vos amis et les inviter à faire des choses avec vous.,fr
being nice to your friends and inviting them to do things with you.,"Seien Sie nett zu Ihren Freunden und laden Sie sie ein, etwas mit Ihnen zu unternehmen.",de
being nice to your friends and inviting them to do things with you.,अपने दोस्तों के साथ अच्छा व्यवहार करें और उन्हें अपने साथ काम करने के लिए आमंत्रित करें।,hi
being nice to your friends and inviting them to do things with you.,ser amable con tus amigos e invitarlos a hacer cosas contigo.,es
being nice to your friends and inviting them to do things with you.,ser gentil com seus amigos e convidá-los para fazer coisas com você.,pt
making someone feel bad about their sexuality.,جعل شخص ما يشعر بالسوء تجاه حياته الجنسية.,ar
making someone feel bad about their sexuality.,让某人对自己的性行为感觉不好。,zh-CN
making someone feel bad about their sexuality.,faire en sorte que quelqu'un se sente mal à propos de sa sexualité.,fr
making someone feel bad about their sexuality.,jemandem ein schlechtes Gewissen wegen seiner Sexualität geben.,de
making someone feel bad about their sexuality.,किसी को उनकी कामुकता के बारे में बुरा महसूस कराना।,hi
making someone feel bad about their sexuality.,hacer que alguien se sienta mal acerca de su sexualidad.,es
making someone feel bad about their sexuality.,fazer alguém se sentir mal por sua sexualidade.,pt
punishing people who try to take advantage of a system.,معاقبة الأشخاص الذين يحاولون الاستفادة من النظام.,ar
punishing people who try to take advantage of a system.,惩罚那些试图利用系统的人。,zh-CN
punishing people who try to take advantage of a system.,punir les gens qui tentent de profiter d’un système.,fr
punishing people who try to take advantage of a system.,"Bestrafung von Menschen, die versuchen, ein System auszunutzen.",de
punishing people who try to take advantage of a system.,उन लोगों को दंडित करना जो किसी व्यवस्था का लाभ उठाने का प्रयास करते हैं।,hi
punishing people who try to take advantage of a system.,Castigar a las personas que intentan aprovecharse de un sistema.,es
punishing people who try to take advantage of a system.,punir pessoas que tentam tirar vantagem de um sistema.,pt
farting in public,يضرطن في الأماكن العامة,ar
farting in public,在公共场合放屁,zh-CN
farting in public,péter en public,fr
farting in public,in der Öffentlichkeit furzen,de
farting in public,सार्वजनिक रूप से पादना,hi
farting in public,tirarse pedos en publico,es
farting in public,peidar em público,pt
passing notes in class.,تمرير الملاحظات في الصف.,ar
passing notes in class.,在课堂上传递笔记。,zh-CN
passing notes in class.,passer des notes en classe.,fr
passing notes in class.,Notizen im Unterricht weitergeben.,de
passing notes in class.,कक्षा में नोट्स पास करना।,hi
passing notes in class.,pasar notas en clase.,es
passing notes in class.,passando notas na aula.,pt
having an opinion.,وجود رأي.,ar
having an opinion.,有意见。,zh-CN
having an opinion.,avoir un avis.,fr
having an opinion.,eine Meinung haben.,de
having an opinion.,एक राय रखना.,hi
having an opinion.,tener una opinión.,es
having an opinion.,tendo uma opinião.,pt
indulging your sexual fantasies with other consenting adults.,الانغماس في خيالاتك الجنسية مع البالغين الآخرين.,ar
indulging your sexual fantasies with other consenting adults.,与其他同意的成年人一起沉迷于性幻想。,zh-CN
indulging your sexual fantasies with other consenting adults.,assouvir vos fantasmes sexuels avec d’autres adultes consentants.,fr
indulging your sexual fantasies with other consenting adults.,Ausleben Ihrer sexuellen Fantasien mit anderen einwilligenden Erwachsenen.,de
indulging your sexual fantasies with other consenting adults.,अन्य सहमत वयस्कों के साथ अपनी यौन कल्पनाओं को शामिल करना।,hi
indulging your sexual fantasies with other consenting adults.,complacer sus fantasías sexuales con otros adultos que lo consientan.,es
indulging your sexual fantasies with other consenting adults.,ceder às suas fantasias sexuais com outros adultos consentidos.,pt
shunning family.,تجنب الأسرة.,ar
shunning family.,回避家庭。,zh-CN
shunning family.,fuir la famille.,fr
shunning family.,Familie meiden.,de
shunning family.,त्यागने वाला परिवार.,hi
shunning family.,evitando a la familia.,es
shunning family.,evitando a família.,pt
following your parents' demands.,بعد مطالب والديك.,ar
following your parents' demands.,遵循你父母的要求。,zh-CN
following your parents' demands.,suite aux demandes de vos parents.,fr
following your parents' demands.,den Forderungen deiner Eltern folgen.,de
following your parents' demands.,अपने माता-पिता की मांगों का पालन करें।,hi
following your parents' demands.,siguiendo las demandas de tus padres.,es
following your parents' demands.,seguindo as exigências de seus pais.,pt
buying lottery tickets on occasion.,شراء تذاكر اليانصيب في بعض الأحيان.,ar
buying lottery tickets on occasion.,偶尔买彩票。,zh-CN
buying lottery tickets on occasion.,acheter des billets de loterie à l'occasion.,fr
buying lottery tickets on occasion.,Gelegentlich Lottoscheine kaufen.,de
buying lottery tickets on occasion.,अवसर पर लॉटरी टिकट खरीदना।,hi
buying lottery tickets on occasion.,comprar billetes de lotería de vez en cuando.,es
buying lottery tickets on occasion.,comprando bilhetes de loteria ocasionalmente.,pt
wanting to get back at someone who cheated on you.,الرغبة في العودة إلى شخص خدعك.,ar
wanting to get back at someone who cheated on you.,想要报复欺骗你的人。,zh-CN
wanting to get back at someone who cheated on you.,vouloir se venger de quelqu'un qui vous a trompé.,fr
wanting to get back at someone who cheated on you.,"sich an jemandem rächen wollen, der dich betrogen hat.",de
wanting to get back at someone who cheated on you.,किसी ऐसे व्यक्ति से वापस मिलना चाहते हैं जिसने आपको धोखा दिया है।,hi
wanting to get back at someone who cheated on you.,querer vengarse de alguien que te engañó.,es
wanting to get back at someone who cheated on you.,querendo se vingar de alguém que te traiu.,pt
not having a plan for the rest of your life,عدم وجود خطة لبقية حياتك,ar
not having a plan for the rest of your life,没有为你的余生制定计划,zh-CN
not having a plan for the rest of your life,ne pas avoir de plan pour le reste de ta vie,fr
not having a plan for the rest of your life,keinen Plan für den Rest deines Lebens hast,de
not having a plan for the rest of your life,आपके शेष जीवन के लिए कोई योजना नहीं होना,hi
not having a plan for the rest of your life,No tener un plan para el resto de tu vida.,es
not having a plan for the rest of your life,não ter um plano para o resto da sua vida,pt
teaching children bad words in a controlled environment.,تعليم الأطفال الكلمات السيئة في بيئة خاضعة للرقابة.,ar
teaching children bad words in a controlled environment.,在受控环境中教孩子脏话。,zh-CN
teaching children bad words in a controlled environment.,enseigner aux enfants de gros mots dans un environnement contrôlé.,fr
teaching children bad words in a controlled environment.,Kindern in einer kontrollierten Umgebung schlechte Wörter beibringen.,de
teaching children bad words in a controlled environment.,नियंत्रित वातावरण में बच्चों को बुरे शब्द सिखाना।,hi
teaching children bad words in a controlled environment.,Enseñar a los niños malas palabras en un ambiente controlado.,es
teaching children bad words in a controlled environment.,ensinar palavrões às crianças em um ambiente controlado.,pt
asking your parents for help paying for your wedding.,اطلب من والديك المساعدة في دفع تكاليف حفل الزفاف الخاص بك.,ar
asking your parents for help paying for your wedding.,向你的父母寻求帮助支付你的婚礼费用。,zh-CN
asking your parents for help paying for your wedding.,demander à vos parents de vous aider à payer votre mariage.,fr
asking your parents for help paying for your wedding.,Bitte deine Eltern um Hilfe bei der Finanzierung deiner Hochzeit.,de
asking your parents for help paying for your wedding.,अपनी शादी के लिए भुगतान के लिए अपने माता-पिता से मदद माँगना।,hi
asking your parents for help paying for your wedding.,pidiendo ayuda a tus padres para pagar tu boda.,es
asking your parents for help paying for your wedding.,pedindo ajuda aos seus pais para pagar o seu casamento.,pt
getting your child a pet.,الحصول على حيوان أليف لطفلك.,ar
getting your child a pet.,给你的孩子养一只宠物。,zh-CN
getting your child a pet.,offrir un animal de compagnie à votre enfant.,fr
getting your child a pet.,Besorgen Sie Ihrem Kind ein Haustier.,de
getting your child a pet.,अपने बच्चे को पालतू जानवर दिलाना.,hi
getting your child a pet.,conseguirle a su hijo una mascota.,es
getting your child a pet.,conseguir um animal de estimação para seu filho.,pt
questioning an officer in court to help your case.,استجواب ضابط في المحكمة للمساعدة في قضيتك.,ar
questioning an officer in court to help your case.,在法庭上询问官员以帮助您的案件。,zh-CN
questioning an officer in court to help your case.,interroger un officier au tribunal pour vous aider.,fr
questioning an officer in court to help your case.,"Befragung eines Beamten vor Gericht, um Ihrem Fall zu helfen.",de
questioning an officer in court to help your case.,अपने मामले में सहायता के लिए अदालत में एक अधिकारी से पूछताछ करना।,hi
questioning an officer in court to help your case.,interrogar a un oficial en la corte para ayudar en su caso.,es
questioning an officer in court to help your case.,questionar um oficial no tribunal para ajudar no seu caso.,pt
only wanting to hang out with certain people.,الرغبة فقط في التسكع مع أشخاص معينين.,ar
only wanting to hang out with certain people.,只想和某些人一起出去玩。,zh-CN
only wanting to hang out with certain people.,je veux seulement sortir avec certaines personnes.,fr
only wanting to hang out with certain people.,Ich möchte nur mit bestimmten Leuten Zeit verbringen.,de
only wanting to hang out with certain people.,केवल कुछ खास लोगों के साथ घूमना चाहता हूँ।,hi
only wanting to hang out with certain people.,Sólo quiero salir con ciertas personas.,es
only wanting to hang out with certain people.,querendo apenas sair com certas pessoas.,pt
distracting others at work.,تشتيت انتباه الآخرين في العمل.,ar
distracting others at work.,在工作中分散他人的注意力。,zh-CN
distracting others at work.,distraire les autres au travail.,fr
distracting others at work.,andere bei der Arbeit ablenken.,de
distracting others at work.,काम पर दूसरों का ध्यान भटकाना।,hi
distracting others at work.,distraer a otros en el trabajo.,es
distracting others at work.,distrair outras pessoas no trabalho.,pt
committing suicide.,الانتحار.,ar
committing suicide.,正在自杀。,zh-CN
committing suicide.,suicide.,fr
committing suicide.,Selbstmord.,de
committing suicide.,आत्महत्या करना।,hi
committing suicide.,suicidándose.,es
committing suicide.,cometendo suicídio.,pt
remaining friends with someone who has caused hardship for your significant other,البقاء أصدقاء مع شخص تسبب في صعوبات لشريكك,ar
remaining friends with someone who has caused hardship for your significant other,与给你的另一半带来困难的人保持朋友关系,zh-CN
remaining friends with someone who has caused hardship for your significant other,rester ami avec quelqu'un qui a causé des difficultés à votre partenaire,fr
remaining friends with someone who has caused hardship for your significant other,"Bleiben Sie mit jemandem befreundet, der Ihrem Lebensgefährten Schwierigkeiten bereitet hat",de
remaining friends with someone who has caused hardship for your significant other,किसी ऐसे व्यक्ति के साथ मित्र बने रहना जिसने आपके प्रियजन के लिए कठिनाई पैदा की हो,hi
remaining friends with someone who has caused hardship for your significant other,Seguir siendo amigo de alguien que ha causado dificultades a su pareja.,es
remaining friends with someone who has caused hardship for your significant other,permanecer amigo de alguém que causou dificuldades para sua cara-metade,pt
cheating on your partner.,الغش على شريك حياتك.,ar
cheating on your partner.,欺骗你的伴侣。,zh-CN
cheating on your partner.,tromper votre partenaire.,fr
cheating on your partner.,deinen Partner betrügen.,de
cheating on your partner.,अपने साथी को धोखा देना.,hi
cheating on your partner.,engañar a tu pareja.,es
cheating on your partner.,traindo seu parceiro.,pt
being competitive with a significant other's family.,القدرة على المنافسة مع عائلة كبيرة أخرى.,ar
being competitive with a significant other's family.,与重要他人的家人竞争。,zh-CN
being competitive with a significant other's family.,être en compétition avec la famille d'un proche.,fr
being competitive with a significant other's family.,mit der Familie eines Lebensgefährten konkurrieren.,de
being competitive with a significant other's family.,किसी महत्वपूर्ण व्यक्ति के परिवार के साथ प्रतिस्पर्धी होना।,hi
being competitive with a significant other's family.,Ser competitivo con la familia de otra persona importante.,es
being competitive with a significant other's family.,ser competitivo com a família de uma pessoa importante.,pt
expecting people to tell you the true reasons for quitting their job.,تتوقع من الناس أن يخبروك بالأسباب الحقيقية لترك وظائفهم.,ar
expecting people to tell you the true reasons for quitting their job.,期待人们告诉你辞职的真正原因。,zh-CN
expecting people to tell you the true reasons for quitting their job.,s'attendre à ce que les gens vous disent les véritables raisons pour lesquelles ils ont quitté leur emploi.,fr
expecting people to tell you the true reasons for quitting their job.,"Erwarten Sie, dass die Leute Ihnen die wahren Gründe nennen, warum sie ihren Job gekündigt haben.",de
expecting people to tell you the true reasons for quitting their job.,लोगों से अपेक्षा करना कि वे आपको अपनी नौकरी छोड़ने के सही कारण बताएं।,hi
expecting people to tell you the true reasons for quitting their job.,esperando que la gente le diga las verdaderas razones para dejar su trabajo.,es
expecting people to tell you the true reasons for quitting their job.,esperar que as pessoas lhe contem os verdadeiros motivos para deixar o emprego.,pt
taking money you just find lying around.,أخذ المال تجده ملقى حولك.,ar
taking money you just find lying around.,拿走你刚刚发现的钱。,zh-CN
taking money you just find lying around.,prendre de l'argent que vous trouvez qui traîne.,fr
taking money you just find lying around.,"Nehmen Sie Geld, das Sie einfach herumliegen finden.",de
taking money you just find lying around.,पैसे लेना तुम्हें यूं ही पड़ा हुआ मिलता है।,hi
taking money you just find lying around.,tomando dinero que simplemente encuentras tirado por ahí.,es
taking money you just find lying around.,pegando dinheiro que você encontra por aí.,pt
letting your daughter dress like a slut.,السماح لابنتك بارتداء ملابس مثل الفاسقة.,ar
letting your daughter dress like a slut.,让你女儿穿得像个荡妇。,zh-CN
letting your daughter dress like a slut.,laisser votre fille s'habiller comme une salope.,fr
letting your daughter dress like a slut.,Lass deine Tochter sich wie eine Schlampe kleiden.,de
letting your daughter dress like a slut.,अपनी बेटी को एक फूहड़ की तरह कपड़े पहनने दो।,hi
letting your daughter dress like a slut.,dejar que tu hija se vista como una puta.,es
letting your daughter dress like a slut.,deixando sua filha se vestir como uma vagabunda.,pt
abusing drugs.,تعاطي المخدرات.,ar
abusing drugs.,滥用药物。,zh-CN
abusing drugs.,abuser de drogues.,fr
abusing drugs.,Drogenmissbrauch.,de
abusing drugs.,नशीली दवाओं का दुरुपयोग.,hi
abusing drugs.,abusando de las drogas.,es
abusing drugs.,abusando de drogas.,pt
maxing out your credit cards.,الحد الأقصى لبطاقات الائتمان الخاصة بك.,ar
maxing out your credit cards.,刷爆你的信用卡。,zh-CN
maxing out your credit cards.,maximiser vos cartes de crédit.,fr
maxing out your credit cards.,Maximieren Sie Ihre Kreditkarten.,de
maxing out your credit cards.,आपके क्रेडिट कार्ड का अधिकतम उपयोग।,hi
maxing out your credit cards.,maximizar sus tarjetas de crédito.,es
maxing out your credit cards.,estourando seus cartões de crédito.,pt
hating someone just because they made a single mistake.,كره شخص لمجرد أنه ارتكب خطأ واحد.,ar
hating someone just because they made a single mistake.,仅仅因为某人犯了一个错误就讨厌他。,zh-CN
hating someone just because they made a single mistake.,détester quelqu'un simplement parce qu'il a commis une seule erreur.,fr
hating someone just because they made a single mistake.,"jemanden hassen, nur weil er einen einzigen Fehler gemacht hat.",de
hating someone just because they made a single mistake.,किसी से सिर्फ इसलिए नफरत करना क्योंकि उन्होंने एक गलती की थी।,hi
hating someone just because they made a single mistake.,odiar a alguien sólo porque cometió un solo error.,es
hating someone just because they made a single mistake.,odiar alguém só porque cometeu um único erro.,pt
spending time outdoors.,قضاء الوقت في الهواء الطلق.,ar
spending time outdoors.,在户外度过时光。,zh-CN
spending time outdoors.,passer du temps à l'extérieur.,fr
spending time outdoors.,Zeit im Freien verbringen.,de
spending time outdoors.,बाहर समय बिताना.,hi
spending time outdoors.,pasar tiempo al aire libre.,es
spending time outdoors.,passar tempo ao ar livre.,pt
putting on an act in front of others.,القيام بفعل ما أمام الآخرين.,ar
putting on an act in front of others.,在别人面前表演。,zh-CN
putting on an act in front of others.,faire un acte devant les autres.,fr
putting on an act in front of others.,vor anderen etwas aufführen.,de
putting on an act in front of others.,दूसरों के सामने अभिनय करना।,hi
putting on an act in front of others.,actuar delante de los demás.,es
putting on an act in front of others.,encenando um ato na frente dos outros.,pt
telling your significant other that you don't like talking to them on the phone.,إخبار شريكك المهم أنك لا تحب التحدث معه عبر الهاتف.,ar
telling your significant other that you don't like talking to them on the phone.,告诉你的另一半你不喜欢和他们通电话。,zh-CN
telling your significant other that you don't like talking to them on the phone.,dire à votre partenaire que vous n’aimez pas lui parler au téléphone.,fr
telling your significant other that you don't like talking to them on the phone.,"Sagen Sie Ihrem Lebensgefährten, dass Sie nicht gerne mit ihm telefonieren.",de
telling your significant other that you don't like talking to them on the phone.,अपने जीवनसाथी को यह बताना कि आपको उनसे फ़ोन पर बात करना पसंद नहीं है।,hi
telling your significant other that you don't like talking to them on the phone.,decirle a tu pareja que no te gusta hablar con ella por teléfono.,es
telling your significant other that you don't like talking to them on the phone.,dizer ao seu parceiro que você não gosta de falar com ele ao telefone.,pt
dating someone who cross-dresses.,مواعدة شخص يرتدي الملابس المتقاطعة.,ar
dating someone who cross-dresses.,与异装癖者约会。,zh-CN
dating someone who cross-dresses.,sortir avec quelqu'un qui se travestit.,fr
dating someone who cross-dresses.,"Dating mit jemandem, der Cross-Dressing trägt.",de
dating someone who cross-dresses.,किसी ऐसे व्यक्ति के साथ डेटिंग करना जो क्रॉस-ड्रेस पहनता हो।,hi
dating someone who cross-dresses.,salir con alguien que se viste.,es
dating someone who cross-dresses.,namorar alguém que se traveste.,pt
expecting your kids to give you money.,تتوقع أن يعطيك أطفالك المال.,ar
expecting your kids to give you money.,期待你的孩子给你钱。,zh-CN
expecting your kids to give you money.,s'attendre à ce que vos enfants vous donnent de l'argent.,fr
expecting your kids to give you money.,"Erwarten Sie, dass Ihre Kinder Ihnen Geld geben.",de
expecting your kids to give you money.,अपने बच्चों से यह अपेक्षा करना कि वे आपको पैसे देंगे।,hi
expecting your kids to give you money.,esperando que sus hijos le den dinero.,es
expecting your kids to give you money.,esperando que seus filhos lhe dêem dinheiro.,pt
thinking about someone that you really loved in your past.,التفكير في شخص كنت تحبه حقًا في ماضيك.,ar
thinking about someone that you really loved in your past.,想想你过去真正爱过的人。,zh-CN
thinking about someone that you really loved in your past.,penser à quelqu'un que vous avez vraiment aimé dans votre passé.,fr
thinking about someone that you really loved in your past.,"Denken Sie an jemanden, den Sie in Ihrer Vergangenheit wirklich geliebt haben.",de
thinking about someone that you really loved in your past.,किसी ऐसे व्यक्ति के बारे में सोचना जिसे आप अपने अतीत में सचमुच प्यार करते थे।,hi
thinking about someone that you really loved in your past.,pensando en alguien a quien realmente amaste en tu pasado.,es
thinking about someone that you really loved in your past.,pensando em alguém que você realmente amou no passado.,pt
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,الاحترام والقبول عندما يقول شخص ما أنه يرغب في الحصول على نكهة معينة من الطعام لمنتج جديد.,ar
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,当有人说他们想要某种口味的新产品时，要尊重并接受。,zh-CN
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,être respectueux et accepter lorsque quelqu'un dit qu'il aimerait une certaine saveur de nourriture pour un nouveau produit.,fr
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,"Seien Sie respektvoll und akzeptieren Sie, wenn jemand sagt, dass er sich für ein neues Produkt eine bestimmte Geschmacksrichtung wünscht.",de
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,जब कोई कहता है कि वे किसी नए उत्पाद के लिए भोजन का एक निश्चित स्वाद चाहते हैं तो सम्मानजनक होना और स्वीकार करना।,hi
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,ser respetuoso y aceptar cuando alguien dice que le gustaría un determinado sabor de comida para un nuevo producto.,es
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,ser respeitoso e receptivo quando alguém diz que gostaria de um determinado sabor de comida para um novo produto.,pt
causing drama where there doesn't have to be any.,مما يسبب الدراما حيث لا يجب أن يكون هناك أي شيء.,ar
causing drama where there doesn't have to be any.,引发不必要的戏剧性事件。,zh-CN
causing drama where there doesn't have to be any.,provoquer des drames là où il ne devrait pas y en avoir.,fr
causing drama where there doesn't have to be any.,"Drama erzeugen, wo es gar nicht sein muss.",de
causing drama where there doesn't have to be any.,वहां नाटक करना जहां कोई होना ही नहीं है।,hi
causing drama where there doesn't have to be any.,causando drama donde no tiene por qué haberlo.,es
causing drama where there doesn't have to be any.,causando drama onde não precisa haver nenhum.,pt
not wanting to be around your girlfriend after she insulted you.,عدم الرغبة في التواجد حول صديقتك بعد أن أهانتك.,ar
not wanting to be around your girlfriend after she insulted you.,在你的女朋友侮辱了你之后，你不想再和她在一起了。,zh-CN
not wanting to be around your girlfriend after she insulted you.,ne pas vouloir être avec ta petite amie après qu'elle t'ait insulté.,fr
not wanting to be around your girlfriend after she insulted you.,"Ich möchte nicht mit deiner Freundin zusammen sein, nachdem sie dich beleidigt hat.",de
not wanting to be around your girlfriend after she insulted you.,आपकी प्रेमिका द्वारा आपका अपमान करने के बाद आप उसके आसपास नहीं रहना चाहते।,hi
not wanting to be around your girlfriend after she insulted you.,No querer estar cerca de tu novia después de que ella te insultó.,es
not wanting to be around your girlfriend after she insulted you.,não querer ficar perto da sua namorada depois que ela te insultou.,pt
being careful who you fall in love with.,كن حذرا مع من تقع في الحب.,ar
being careful who you fall in love with.,小心你爱上的人。,zh-CN
being careful who you fall in love with.,faire attention à qui vous tombez amoureux.,fr
being careful who you fall in love with.,"Seien Sie vorsichtig, in wen Sie sich verlieben.",de
being careful who you fall in love with.,इस बात से सावधान रहें कि आपको किससे प्यार हो गया है।,hi
being careful who you fall in love with.,Ten cuidado de quién te enamoras.,es
being careful who you fall in love with.,tomando cuidado com quem você se apaixona.,pt
dating someone when you're their boss.,مواعدة شخص ما عندما تكون رئيسه.,ar
dating someone when you're their boss.,当你是某人的老板时与某人约会。,zh-CN
dating someone when you're their boss.,sortir avec quelqu'un quand tu es son patron.,fr
dating someone when you're their boss.,"Sich mit jemandem verabreden, wenn man sein Chef ist.",de
dating someone when you're their boss.,किसी के साथ तब डेटिंग करना जब आप उसके बॉस हों।,hi
dating someone when you're their boss.,salir con alguien cuando eres su jefe.,es
dating someone when you're their boss.,namorar alguém quando você é o chefe dele.,pt
having a weird sexual kink.,وجود شبك جنسي غريب.,ar
having a weird sexual kink.,有一种奇怪的性癖好。,zh-CN
having a weird sexual kink.,avoir un étrange penchant sexuel.,fr
having a weird sexual kink.,einen seltsamen sexuellen Hang haben.,de
having a weird sexual kink.,एक अजीब यौन गुत्थी होना।,hi
